sro,serial,vcode,village_hi,note
sadar1,1,0058,अधियारी बांग,agri: all rate cols printed as dash
sadar1,2,0058,अधियारी बांग आंशिक,agri: all rate cols printed as dash
sadar1,3,0082,अलीनगर उत्तरी,agri: all rate cols printed as dash
sadar1,4,0083,अलीनगर दक्षिणी,agri: all rate cols printed as dash
sadar1,5,0089,अबू बाजार,agri: all rate cols printed as dash
sadar1,16,4903,अजवनिया,agri: col6 last digit under signature; read 115
sadar1,21,0099,इलाहीबाग,agri: all rate cols printed as dash
sadar1,22,0044,इस्माईलपुर,agri: all rate cols printed as dash
sadar1,23,0090,इस्लाम चक,agri: all rate cols printed as dash
sadar1,26,0053,उर्वरक नगर,"agri: 0 printed in cols 5,9,13,17"
sadar1,27,4935,ऊचगॉव,agri: col11=80 as printed (95 in similar rows)
sadar1,30,5402,उनौला खुर्द,comm: vcode last digit smudged (read 5402; sequence 5401/5403)
sadar1,32,4931,उस्का,comm: village name illegible in scan (best reading)
sadar1,35,4190,एकडंगा,"agri: 0 printed in cols 5,9,13,17"
sadar1,36,4814,एकला (बाजार),agri: vcode first digit under signature (read 4814); col7 last digit under signature (read 182)
sadar1,37,0071,कल्याणपुर,agri: all rate cols printed as dash
sadar1,38,0075,काजीपुर कला,agri: all rate cols printed as dash
sadar1,39,0121,कृष्णा नगर कालोनी,agri: all rate cols printed as dash
sadar1,40,0122,कारागार,agri: all rate cols printed as dash
sadar1,41,4192,कोलिया,"agri: 0 printed in cols 5,9,13,17"
sadar1,42,4193,कोल्हुआ,"agri: 0 printed in cols 5,9,13,17"
sadar1,57,4943,कोडर तप्पा हवेली,comm: village name partly illegible (first word)
sadar1,59,4961,कोटवा,comm: village name partly illegible
sadar1,65,0043,खूनीपुर,agri: all rate cols printed as dash
sadar1,66,0043,खूनीपुर आशिंक,agri: all rate cols printed as dash
sadar1,67,0049,खोखरटोला,agri: all rate cols printed as dash
sadar1,75,0123,गीतावाटिका,agri: all rate cols printed as dash
sadar1,76,0067,गाजीरौजा,agri: all rate cols printed as dash; vcode last digit under signature (read 0067)
sadar1,79,5404,गुरौली खुर्द,road: vcode first digit partly obscured by signature
sadar1,86,0046,घासीकटरा,agri: all rate cols printed as dash
sadar1,87,0046,घासीकटरा,agri: all rate cols printed as dash
sadar1,88,0057,घोषीपुरवा आंशिक,agri: all rate cols printed as dash
sadar1,89,0100,घोषीपुर,agri: all rate cols printed as dash
sadar1,91,0001,चरगॉवा,"agri: 0 printed in cols 5,9,13,17"
sadar1,92,0031,चकसाहुसैन,"agri: 0 printed in cols 5,9,13,17"
sadar1,93,0031,चकसा हुसैन आंशिक,"agri: 0 printed in cols 5,9,13,17"
sadar1,94,0008,चैनपुर,"agri: 0 printed in cols 5,9,13,17"
sadar1,96,5024,चकटेल्हना,road: village name partly unclear (scan streak)
sadar1,103,4863,चिलबिलवा,agri: other_a printed with stray mark (.150); read 150
sadar1,117,0038,जटेपुर उत्तरी,agri: duplicate vcode+name with serial 118 as printed
sadar1,118,0038,जटेपुर उत्तरी,agri: duplicate vcode+name with serial 117 as printed
sadar1,123,0146,जनप्रिय विहार कालोनी,agri: vcode 0146 also printed for serial 126
sadar1,126,0146,जनप्रिय विहार आवासीय योजना,agri: vcode 0146 also printed for serial 123
sadar1,163,5068,जंगल विश्रामपुर,road: vcode first digit partly obscured by signature
sadar1,171,4857,जंगल नन्दलाल सिंह,basic: serial partly hidden by signature; read as 171 by continuity
sadar1,176,5102,टोटहा मुस्तकिल,agri: vcode 2nd digit obscured by signature (5102 or 5002); read 5102
sadar1,182,4812,डांगीपार,agri: serial middle digit faint (looks 162); 182 by sequence
sadar1,188,0059,तकियाकवलदह,agri: duplicate vcode+name with serial 189 as printed
sadar1,189,0059,तकियाकवलदह,agri: duplicate vcode+name with serial 188 as printed
sadar1,190,0070,तिवारीपुर,agri: duplicate vcode+name with serial 191 as printed
sadar1,191,0070,तिवारीपुर,basic: serial partly hidden by signature; read as 191 by continuity | agri: duplicate vcode+name with serial 190 as printed
sadar1,193,2341,ताजपिपरा,comm: vcode 2341 printed (out of pattern; verify)
sadar1,196,5130,तेलियाडीह,agri: vcode 3rd digit obscured by signature (5130 or 5120); read 5130
sadar1,205,5126,तुलसीदेउर,road: vcode first digit partly obscured by signature
sadar1,215,5142,धोबही,agri: vcode partly covered by signature; read 5142
sadar1,216,0048,नसीराबाद,agri: vcode partly covered by signature; read 0048
sadar1,223,0155,नेताजी सुबाष चन्द्र बोष नगर,agri: name truncated in print
sadar1,226,5161,नैयापार बुजुर्ग,road: vcode first digit partly obscured by signature
sadar1,232,5157,नियामतपुर,comm: vcode smudged (read 5157)
sadar1,233,5159,नवापार,comm: village name first letters smudged
sadar1,235,0042,पुराना गोरखपुर,agri: vcode partly covered by signature; read 0042
sadar1,236,0094,पोखरभिण्डा उर्फ करीमगनर,comm: name end smudged (read करीमनगर)
sadar1,247,5186,पिपरा बनवारी,road: vcode first digit partly obscured by signature
sadar1,255,5202,फतेहडी,agri: vcode last digit covered by signature; read 5202 (could be 5209)
sadar1,257,0028,वहरामपुर उर्फ पिपरापुर,agri: duplicate of serial 258 as printed
sadar1,258,0028,वहरामपुर उर्फ पिपरापुर,road: duplicate of serial 257 as printed | agri: duplicate of serial 257 as printed
sadar1,261,0078,वौलिया कालोनी आंशिक,basic: ward cell ends with a stray-looking '१' as printed
sadar1,266,0056,बसन्तपुर मुतनाजा,road: duplicate of serial 265 as printed
sadar1,268,0091,बशारतपुर पश्चिमी,road: vcode first digit under signature; duplicate of serial 259 as printed
sadar1,272,4187,बड़गो,comm: अर्धनगरीय but rates equal the 64000/73500/63000 urban tier (other अर्धनगरीय rows are 61500/68000/61000); as printed
sadar1,281,5216,बिजुलिया जोत,agri: serial printed 261 (sequence implies 281)
sadar1,289,5205,बरौली तप्पा पतरा,road: vcode first digit under signature
sadar1,292,0050,भेडियागढ,agri: all rate cells printed as dash
sadar1,295,5242,भगड़ा पाण्डेय,agri: vcode first digit under signature; read 5242
sadar1,308,0040,मिर्जापुर पचपेड़वा आंशिक,"agri: dist_c ink-blotted, reads 520"
sadar1,310,0005,मानबेला,road: vcode first digit under signature
sadar1,312,0085,मिर्जापुर,agri: all rate cells printed as dash
sadar1,315,4194,मुण्डेरी चक एहतमाली,agri: vcode middle digits under signature; best reading 4104
sadar1,325,5280,मीरापुर तप्पा पतरा,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify
sadar1,326,5268,मुगलहा,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify | agri: vcode 5268 also printed for serial 332
sadar1,327,5282,मुण्डेरी बुजुर्ग,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify
